id,adult,budget,homepage,original_language,original_title,title,tagline,overview,popularity,release_date,revenue,runtime
9087,False,62000000,,en,"The American President","The American President","Why can't the most powerful man in the world have the one thing he wants most?","Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,1995-11-17,107879496,106.0
12110,False,0,,en,"Dracula: Dead and Loving It","Dracula: Dead and Loving It",,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,1995-12-22,0,88.0
21032,False,0,,en,Balto,Balto,"Part Dog. Part Wolf. All Hero.","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,1995-12-22,11348324,78.0
10858,False,44000000,,en,Nixon,Nixon,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.","An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,1995-12-22,13681765,192.0
1408,False,98000000,,en,"Cutthroat Island","Cutthroat Island","The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,1995-12-22,10017322,119.0
524,False,52000000,,en,Casino,Casino,"No one stays at the top forever.","The life of the gambling paradise � Las Vegas � and its dark mafia underbelly.",10.137389,1995-11-22,116112375,178.0
4584,False,16500000,,en,"Sense and Sensibility","Sense and Sensibility","Lose your heart and come to your senses.","Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,1995-12-13,135000000,136.0
5,False,4000000,,en,"Four Rooms","Four Rooms","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.","It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.",9.026586,1995-12-09,4300000,98.0
9273,False,30000000,,en,"Ace Ventura: When Nature Calls","Ace Ventura: When Nature Calls","New animals. New adventures. Same hair.","Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.205448,1995-11-10,212385533,90.0
11517,False,60000000,,en,"Money Train","Money Train","Get on, or GET OUT THE WAY!","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,1995-11-21,35431113,103.0
8012,False,30250000,,en,"Get Shorty","Get Shorty","The mob is tough, but it�s nothing like show business.","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,1995-10-20,115101622,105.0
1710,False,0,,en,Copycat,Copycat,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.","An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.",10.701801,1995-10-27,0,124.0
9691,False,50000000,,en,Assassins,Assassins,"In the shadows of life, In the business of death, One man found a reason to live...","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",11.065939,1995-10-06,30303072,132.0
12665,False,0,,en,Powder,Powder,"An extraordinary encounter with another human being.","Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",12.133094,1995-10-27,0,111.0
451,False,3600000,http://www.mgm.com/title_title.do?title_star=LEAVINGL,en,"Leaving Las Vegas","Leaving Las Vegas","I Love You... The Way You Are.","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,1995-10-27,49800000,112.0
16420,False,0,,en,Othello,Othello,"Envy, greed, jealousy and love.","The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.",1.845899,1995-12-15,0,123.0
9263,False,12000000,,en,"Now and Then","Now and Then","In every woman there is the girl she left behind.","Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",8.681325,1995-10-20,27400000,100.0
17015,False,0,,en,Persuasion,Persuasion,,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",2.228434,1995-09-27,0,104.0
902,False,18000000,,fr,"La Cit� des Enfants Perdus","The City of Lost Children","Where happily ever after is just a dream.","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,1995-05-16,1738611,108.0
37557,False,0,,zh,?????????,"Shanghai Triad","In 1930's Shanghai violence was not the problem. It was the solution.","A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.",1.100915,1995-04-30,0,108.0
9909,False,0,,en,"Dangerous Minds","Dangerous Minds","She broke the rules... and changed their lives.","Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",9.481338,1995-08-11,180000000,99.0
63,False,29500000,,en,"Twelve Monkeys","Twelve Monkeys","The future is history.","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,1995-12-29,168840000,129.0
78802,False,0,,fr,"Guillaumet, les ailes du courage","Wings of Courage",,,0.745542,1996-09-18,0,50.0
9598,False,30000000,,en,Babe,Babe,"A little pig goes a long way.","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",14.404764,1995-07-18,254134910,89.0
47018,False,0,,en,Carrington,Carrington,"A Love so Unusual it has to be True","The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",1.493361,1995-11-08,0,121.0
687,False,11000000,,en,"Dead Man Walking","Dead Man Walking",,"A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.",6.891317,1995-12-29,39363635,122.0
139405,False,0,,en,"Across the Sea of Time","Across the Sea of Time",,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",0.114469,1995-10-20,0,51.0
33689,False,0,,en,"It Takes Two","It Takes Two","Two identical strangers. Two different worlds. One perfect match.","Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",7.777735,1995-11-17,0,101.0
9603,False,12000000,,en,Clueless,Clueless,"Sex. Clothes. Popularity. Is there a problem here?","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",9.882383,1995-07-19,0,97.0
34615,False,0,,en,"Cry, the Beloved Country","Cry, the Beloved Country",,"A South-African preacher goes to search for his wayward son who has committed a crime in the big city.",0.894647,1995-12-15,676525,106.0
31174,False,0,,en,"Richard III","Richard III","I can smile, and murder while I smile","Shakespeare's Play transplanted into a 1930s setting.",4.561387,1995-12-29,0,104.0
11443,False,10000000,,en,"Dead Presidents","Dead Presidents","In this daring heist, the only color that counts is green","Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",9.87957,1995-10-06,0,119.0
35196,False,19000000,,en,Restoration,Restoration,,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",10.979269,1995-12-29,0,117.0
9312,False,18000000,,en,"Mortal Kombat","Mortal Kombat","Nothing In This World Has Prepared You For This.","For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",10.870138,1995-08-18,122195920,101.0
577,False,20000000,,en,"To Die For","To Die For","All she wanted was a little attention.","Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,1995-05-20,21284514,106.0
11861,False,10000000,,en,"How To Make An American Quilt","How To Make An American Quilt","There's beauty in the patterns of life.","Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fianc� is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",4.485958,1995-10-06,23574130,116.0
807,False,33000000,http://www.sevenmovie.com/,en,Se7en,Se7en,"Seven deadly sins. Seven ways to die.","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,1995-09-22,327311859,127.0
10530,False,55000000,,en,Pocahontas,Pocahontas,"An American legend comes to life.","History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",13.280069,1995-06-14,346079773,81.0
8391,False,0,,en,"When Night Is Falling","When Night Is Falling",,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",3.302524,1995-05-05,0,96.0
629,False,6000000,http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,en,"The Usual Suspects","The Usual Suspects","Five Criminals. One Line Up. No Coincidence.","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor � leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,1995-07-19,23341568,106.0
117164,False,0,,en,"Guardian Angel","Guardian Angel","She's no angel of mercy.","Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",0.595949,1994-11-22,0,93.0
11448,False,15000000,,en,"Mighty Aphrodite","Mighty Aphrodite",,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",15.899134,1995-09-13,6700000,95.0
49133,False,0,,it,Lamerica,Lamerica,,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",1.361286,1994-01-01,0,116.0
26441,False,0,,en,"The Big Green","The Big Green","The biggest kick of the year!","In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",5.982764,1995-09-29,0,100.0
97406,False,0,,en,Georgia,Georgia,"The toughest act to follow was their dreams.","Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",4.093443,1995-05-19,0,115.0
124057,False,0,,en,"Kids of the Round Table","Kids of the Round Table",,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",0.307075,1997-07-08,0,89.0
9089,False,0,,en,"Home for the Holidays","Home for the Holidays","We'll do it every year..until we get it right","After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",8.416802,1995-11-02,17519169,103.0
11010,False,0,,it,"Il postino","The Postman",,"Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.",10.168437,1994-09-22,0,108.0
99040,False,0,,fr,"Le confessionnal","The Confessional",,"The year is 1952, in Quebec City. Rachel (16), unmarried and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the confessional. In the present year of 1989, Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.",0.120789,1995-09-29,0,100.0
11359,False,45000000,,en,"The Indian in the Cupboard","The Indian in the Cupboard",,"A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.",10.673296,1995-07-14,0,96.0
17182,False,20000000,,en,"Eye for an Eye","Eye for an Eye","What do you do when justice fails?","It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",4.733526,1996-01-12,0,101.0
2054,False,0,,en,"Mr. Holland's Opus","Mr. Holland's Opus","Of All the Lives He Changed, the One That Changed the Most Was His Own.","In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",7.137117,1995-12-29,106269971,137.0
10607,False,0,,en,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.","When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",11.700115,1996-01-12,0,89.0
19760,False,0,,en,"Two If by Sea","Two If by Sea","A new comedy about love, laughter, and larceny","Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",2.174487,1996-01-12,0,96.0
9536,False,15000000,,en,Bio-Dome,Bio-Dome,"Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?","Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",6.387469,1996-01-12,0,88.0
11525,False,0,,en,"Lawnmower Man 2: Beyond Cyberspace","Lawnmower Man 2: Beyond Cyberspace","God made him simple. Science made him a god. Now, he wants revenge.","Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",2.49535,1996-01-12,2409225,92.0
40628,False,0,,en,"Two Bits","Two Bits","You're never too old to believe in a dream. Or too young to make one come true!","It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",4.046208,1995-10-22,0,85.0
4482,False,0,,fr,"Gazon maudit","French Twist",,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",2.518051,1995-02-08,0,95.0
10634,False,3500000,http://www.newline.com/properties/friday.html,en,Friday,Friday,"A lot can go down between thursday and saturday...","Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",14.56965,1995-04-26,28215918,91.0
755,False,19000000,http://www.miramax.com/movie/from-dusk-till-dawn/,en,"From Dusk Till Dawn","From Dusk Till Dawn","One night is all that stands between them and freedom. But it's going to be a hell of a night.","Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.339153,1996-01-19,25836616,108.0
11859,False,50000000,,en,"Fair Game","Fair Game","He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",5.912223,1995-11-03,11534477,91.0
28387,False,0,,en,"Kicking and Screaming","Kicking and Screaming","Anxiety loves company.","After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",3.367276,1995-10-06,718490,96.0
48750,False,0,,fr,"Les mis�rables","Les Miserables","In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.","In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Mis�rables and begins to see parallels between the book and his own life.",1.479446,1995-03-22,0,175.0
20927,False,0,,en,"Bed of Roses","Bed of Roses","He gave her flowers. She gave him a chance.","The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",10.412194,1996-01-26,19030691,87.0
36929,False,15000000,,en,"Big Bully","Big Bully","A comedy for the kid in all of us.","A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",2.936443,1996-01-26,2042530,90.0
9102,False,20000000,,en,Screamers,Screamers,"The last scream you hear will be your own.","(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",12.758848,1995-09-08,5781885,108.0
124626,False,0,,en,"Nico Icon","Nico Icon",,"A look into the many lives of Christa P�ffgen, otherwise known as Nico; from cutie German m�dchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",0.133893,1995-02-18,0,70.0
27526,False,0,,en,"The Crossing Guard","The Crossing Guard","...some lives cross, others collide.","After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",5.756462,1995-11-15,0,111.0
9623,False,44000000,,en,"The Juror","The Juror","There is no defense.","With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",6.010579,1996-02-02,0,118.0
46785,False,0,,fa,"?????? ????","The White Balloon",,"Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.",1.196256,1995-01-01,0,85.0
400,False,8000000,,en,"Things to Do in Denver When You're Dead","Things to Do in Denver When You're Dead","Protect. Love. Honor. Avenge.","A mafia film in Tarantino style with a star-studded cast. Jimmy�s �The Saint� gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as �The Man with the Plan.�",4.486179,1995-12-01,529766,116.0
