cid,movie_id,character,gender,person_id,name
94,11,"Darth Vader",2,24342,"David Prowse"
95,11,"Voice of Darth Vader (voice)",0,15152,"James Earl Jones"
96,11,"Uncle Owen",2,33032,"Phil Brown"
97,11,"Aunt Beru",1,131625,"Shelagh Fraser"
98,11,"Red Six (Porkins)",2,663,"William Hootkins"
99,11,"Lt. Shann Childsen (uncredited)",2,166258,"Malcolm Tierney"
100,11,"Red Leader",2,47401,"Drewe Henley"
101,11,"Chief Jawa",2,132538,"Jack Purvis"
102,11,"General Dodonna",2,216087,"Alex McCrindle"
103,11,"General Willard",2,69249,"Eddie Byrne"
104,11,"Red Two (Wedge)",2,47698,"Denis Lawson"
105,11,"Red Three (Biggs)",2,17356,"Garrick Hagon"
106,11,"Red Four (John ""D"")",2,162432,"Jack Klaff"
107,11,"Gold Leader",2,58475,"Angus MacInnes"
108,11,"Gold Five",2,202276,"Graham Ashley"
109,11,"General Taggi",2,42570,"Don Henderson"
110,11,"General Motti",2,12829,"Richard LeParmentier"
111,11,"Commander #1",2,79489,"Leslie Schofield"
112,11,"Red Two (voice) (uncredited)",2,1216947,"David Ankrum"
113,11,"Boba Fett (special edition) (uncredited)",2,1271058,"Mark Austin"
114,11,"Stormtrooper (voice) (uncredited)",2,3044,"Scott Beach"
115,11,"Stormtrooper (uncredited)",2,1271059,"Lightning Bear"
116,11,"Cantina Alien (uncredited)",2,1271060,"Jon Berg"
117,11,"Cantina Alien (uncredited)",0,1271061,"Doug Beswick"
118,11,"Greedo (uncredited)",2,199356,"Paul Blake"
119,11,"Nabrun Leids (uncredited)",0,1271062,"Janice Burchette"
120,11,"Wuher (uncredited)",2,1271063,"Ted Burnett"
121,11,"Drifter (Red 12) (uncredited)",2,1271064,"John Chapman"
122,11,"Cantina Patron (uncredited)",2,1271065,"Gilda Cohen"
123,11,"Stormtrooper (uncredited)",2,1178140,"Tim Condren"
124,11,"Wioslea (uncredited)",0,186229,"Barry Copping"
125,11,"Dr. Evazan (uncredited)",2,1271066,"Alfie Curtis"
126,11,"Cantina Patron (uncredited)",0,1271067,"Robert Davies"
127,11,"Greedo (uncredited)",1,104149,"Maria De Aragon"
128,11,"Hrchek Kal Fas (uncredited)",0,1271068,"Robert A. Denham"
129,11,"Jawa (uncredited)",0,1271069,"Frazer Diamond"
130,11,"Stormtrooper / Tusken Raider / Death Star Trooper / Garouf Lafoe (uncredited)",2,53587,"Peter Diamond"
131,11,"Jawa (uncredited)",0,1271070,"Warwick Diamond"
132,11,"Garindan (uncredited)",0,1271071,"Sadie Eden"
133,11,"Djas Puhr (uncredited)",0,1271072,"Kim Falkinburg"
134,11,"Death Star Trooper (uncredited)",2,202402,"Harry Fielder"
135,11,"Stormtrooper with Binoculars (uncredited)",0,1271073,"Ted Gagliano"
136,11,"Cantina Patron (uncredited)",0,1271074,"Salo Gardner"
137,11,"Death Star Trooper (uncredited)",0,1195602,"Steve Gawley"
138,11,"Kabe (uncredited)",0,1271075,"Barry Gnome"
139,11,"Kabe / Jawa / GONK Droid (uncredited)",0,252527,"Rusty Goffe"
140,11,"Cantina Patron (uncredited)",0,1271076,"Isaac Grand"
141,11,"Stormtrooper (special edition) (uncredited)",0,1271077,"Nelson Hall"
142,11,"Stormtrooper (uncredited)",0,1271078,"Reg Harding"
143,11,"Leia's Rebel Escort (uncredited)",2,964699,"Alan Harris"
144,11,"Stormtrooper (uncredited)",0,1271079,"Frank Henson"
145,11,"Brea Tonnika (uncredited)",0,1271080,"Christine Hewett"
146,11,"Stormtrooper (uncredited)",0,1271081,"Arthur Howell"
147,11,"Ponda Baba (uncredited)",0,1271082,"Tommy Ilsley"
148,11,"Death Star Trooper (uncredited)",2,4945,"Joe Johnston"
149,11,"Mosep (uncredited)",0,1271083,"Annette Jones"
150,11,"Chall Bekan (uncredited)",0,1148750,"Linda Jones"
151,11,"Solomohal (uncredited)",0,201344,"Joe Kaye"
152,11,"Stormtrooper (voice) (uncredited)",0,1271085,"Colin Michael Kitchens"
153,11,"Jawa (uncredited)",0,1271086,"Melissa Kurtz"
154,11,"Jawa (uncredited)",0,1190780,"Tiffany L. Kurtz"
155,11,"Daine Jir (uncredited)",0,190453,"Al Lampert"
156,11,"BoShek (uncredited)",0,1012562,"Anthony Lang"
157,11,"Muftak / Cantina Band Member (uncredited)",0,1271091,"Laine Liska"
158,11,"Temple Guard / Medal Bearer (uncredited)",2,1271092,"Derek Lyons"
159,11,"Jawa (uncredited)",0,1271095,Mahjoub
160,11,"Takeel (uncredited)",0,1271096,"Alf Mangan"
161,11,"Stormtrooper (special edition) (uncredited)",0,19801,"Rick McCallum"
162,11,"Death Star Gunner (uncredited)",0,1271102,"Grant McCune"
163,11,"Cantina Patron (uncredited)",0,1271104,"Geoffrey Moon"
164,11,"Swilla Corey (uncredited)",0,1271106,"Mandy Morton"
165,11,"Massassi Base Rebel Scout (uncredited)",0,1271107,"Lorne Peterson"
166,11,"Rycar Ryjerd (uncredited)",0,1183443,"Marcus Powell"
167,11,"InCom Engineer (uncredited)",2,10657,"Shane Rimmer"
168,11,"Leesub Sirln (uncredited)",0,1271116,"Pam Rose"
169,11,"Cmdr. Praji (Imperial Officer #2 on rebel ship) (uncredited)",2,110319,"George Roubicek"
170,11,"Tawss Khaa (uncredited)",0,1271121,"Erica Simmons"
171,11,"Senni Tonnika (uncredited)",0,1271122,"Angela Staines"
172,11,"Cantina Patron (uncredited)",0,1271123,"George Stock"
173,11,"Cantina Patron (uncredited)",0,1271124,"Roy Straite"
174,11,"Sai'torr Kal Fas (uncredited)",0,1271125,"Peter Sturgeon"
175,11,"Lt. Pol Treidum (uncredited)",2,187398,"Peter Sumner"
176,11,"Cantina Voices (voice) (uncredited)",0,1271126,"John Sylla"
177,11,"Massassi Outpost Announcer / Various Voices (voice) (uncredited)",0,390158,"Tom Sylla"
178,11,"Cantina Alien (uncredited)",2,7727,"Phil Tippett"
179,11,"Del Goren (uncredited)",0,184980,"Burnell Tucker"
180,11,"Stormtrooper (voice) (uncredited)",0,160947,"Morgan Upton"
181,11,"Stormtrooper (voice) (uncredited)",0,161301,"Jerry Walter"
182,11,"Jawa (uncredited)",0,1271127,"Hal Wamsley"
183,11,"Greedo (voice) (uncredited)",2,159108,"Larry Ward"
184,11,"Thuku (uncredited)",0,1271128,"Diana Sadley Way"
185,11,"Ketwol / Melas (uncredited)",0,1271129,"Harold Weed"
186,11,"Stormtrooper (uncredited)",2,24278,"Bill Weston"
187,11,"Mos Eisley Citizen (special edition) (uncredited)",0,60207,"Steve 'Spaz' Williams"
188,11,"Cantina Patron (uncredited)",0,1271131,"Fred Wood"
191,12,"Nemo (voice)",2,12,"Alexander Gould"
192,12,"Marlin (voice)",2,13,"Albert Brooks"
193,12,"Dory (voice)",1,14,"Ellen DeGeneres"
194,12,"Bloat (voice)",2,18,"Brad Garrett"
195,12,"Peach (voice)",1,19,"Allison Janney"
196,12,"Crush (voice)",2,7,"Andrew Stanton"
197,12,"Coral (voice)",1,20,"Elizabeth Perkins"
198,12,"Bruce (voice)",2,22,"Barry Humphries"
199,12,"Dentist (voice)",2,23,"Bill Hunter"
200,12,"Gill (voice)",2,5293,"Willem Dafoe"
207,12,"Gurgle (voice)",2,6168,"Austin Pendleton"
208,12,"Bubbles (voice)",2,17401,"Stephen Root"
209,12,"Deb / Flo (voice)",1,14723,"Vicki Lewis"
210,12,"Jacques (voice)",0,7911,"Joe Ranft"
211,12,"Nigel (voice)",2,118,"Geoffrey Rush"
212,12,"Squirt (voice)",2,981048,"Nicholas Bird"
213,12,"Mr. Ray (voice)",2,10,"Bob Peterson"
214,12,"Anchor (voice)",2,8783,"Eric Bana"
215,12,"Chum (voice)",2,27752,"Bruce Spence"
216,12,"Darla (voice)",1,981049,"LuLu Ebeling"
217,12,"Tad (voice)",0,1211731,"Jordan Ranft"
218,12,"Sheldon (voice)",2,17190,"Erik Per Sullivan"
223,13,"Forrest Gump",2,31,"Tom Hanks"
224,13,"Jenny Curran",1,32,"Robin Wright"
225,13,"Lt. Dan Taylor",2,33,"Gary Sinise"
226,13,"Pvt. Benjamin Buford 'Bubba' Blue",2,34,"Mykelti Williamson"
227,13,"Mrs. Gump",1,35,"Sally Field"
231,13,"Forrest Gump Jr.",2,9640,"Haley Joel Osment"
233,13,"Young Jenny Curran",1,204997,"Hanna Hall"
234,13,"School Bus Driver",1,6751,"Siobhan Fallon"
235,13,"Drill Sergeant",2,37825,"Afemo Omilami"
238,14,"Carolyn Burnham",1,516,"Annette Bening"
239,14,"Jim Olmeyer",2,2154,"Scott Bakula"
240,14,"Jane Burnham",1,2155,"Thora Birch"
241,14,"Lester Burnham",2,1979,"Kevin Spacey"
242,14,"Ricky Fitts",2,8210,"Wes Bentley"
243,14,"Angela Hayes",1,8211,"Mena Suvari"
244,14,"Colonel Frank Fitts",2,2955,"Chris Cooper"
245,14,"Buddy Kane",2,8212,"Peter Gallagher"
246,14,"Barbara Fitts",1,19,"Allison Janney"
247,14,"Jim Berkley",2,8213,"Sam Robards"
248,14,"Brad Dupree",2,8214,"Barry Del Sherman"
261,15,"Jedediah Leland",2,7664,"Joseph Cotten"
262,15,"Charles Foster Kane",2,40,"Orson Welles"
263,15,"Mary Kane",1,11025,"Agnes Moorehead"
264,15,"Emily Norton Kane",1,11026,"Ruth Warrick"
265,15,"Mr. Bernstein",0,11027,"Everett Sloane"
266,15,"Walter Parks Thatcher",2,11028,"George Coulouris"
267,15,"Susan Alexander Kane",1,11029,"Dorothy Comingore"
268,15,"Jerry Thompson/Narrator",0,11030,"William Alland"
269,15,"Mr. Rawlston",2,11031,"Philip Van Zandt"
270,15,"Young Charles Foster Kane",0,11032,"Buddy Swan"
271,15,Raymond,2,11033,"Paul Stewart"
280,15,"Jim Kane",2,4077,"Harry Shannon"
286,15,"Jim W. Gettys",2,14518,"Ray Collins"
287,15,"Herbert Carter",0,14364,"Erskine Sanford"
288,15,"Signor Matiste",2,14979,"Fortunio Bonanova"
289,15,John,2,33743,"Gus Schilling"
290,15,"Bertha Anderson",1,105021,"Georgia Backus"
291,15,"Charles Foster Kane III",0,1198371,"Sonny Bupp"
292,15,"Man at Party in Everglades (uncredited)",2,945285,"Don Ackerman"
294,16,Kathy,1,50,"Catherine Deneuve"
295,16,"Bill Houston",2,52,"David Morse"
296,16,Jeff,2,53,"Peter Stormare"
298,16,"Oldrich Novy",2,6748,"Joel Grey"
299,16,"Linda Houston",1,2617,"Cara Seymour"
300,16,"Gene Jezkova",0,6749,"Vladica Kostic"
301,16,Norman,2,1642,"Jean-Marc Barr"
302,16,Samuel,0,6750,"Vincent Paterson"
303,16,Brenda,1,6751,"Siobhan Fallon"
304,16,"District Attorney",2,6752,"Zeljko Ivanek"
305,16,"Dr. Porkorny",2,1646,"Udo Kier"
306,16,Morty,2,6121,"Jens Albinus"
307,16,Judge,0,6753,"Reathel Bean"
308,16,Receptionist,0,6754,"Mette Berggreen"
309,16,"Defense Attorney",0,6755,"Lars Michael Dinesen"
310,16,Suzan,1,6756,"Katrine Falkenberg"
311,16,"Angry Man",0,6757,"Michael Flessas"
312,16,Detective,2,6758,"John Randolph Jones"
313,16,Doctor,2,1640,"Stellan Skarsgård"
314,16,"Woman on Night Shift",0,4458,"Paprika Steen"
324,16,"Selma Jezkova",1,47,"Björk"
336,18,"Korben Dallas",2,62,"Bruce Willis"
337,18,Leeloo,1,63,"Milla Jovovich"
338,18,"Jean-Baptiste Emmanuel Zorg",2,64,"Gary Oldman"
339,18,"Father Vito Cornelius",2,65,"Ian Holm"
358,18,"Ruby Rhod",2,66,"Chris Tucker"
359,18,Billy,2,8395,"Luke Perry"
360,18,"General Munro",2,591,"Brion James"
361,18,"President Lindberg",2,8396,"Tom Lister Jr."
362,18,Fog,2,7400,"Lee Evans"
363,18,David,2,8397,"Charlie Creed-Miles"
364,18,"Professor Pacoli",2,8398,"John Bluthal"
365,18,Mugger,2,2406,"Mathieu Kassovitz"
366,18,Mactilburgh,2,8399,"Christopher Fairbank"
367,18,"Mr. Kim",0,8400,"Kim Chan"
368,18,"Right Arm",2,183500,Tricky
369,18,"VIP Stewardess",0,232174,"Indra Ové"
370,18,"General Staedert",2,12642,"John Neville"
371,18,"Diva Plavalaguna",1,64210,"Maïwenn"
382,19,"Freder Fredersen",2,74,"Gustav Fröhlich"
383,19,Maria,1,75,"Brigitte Helm"
384,19,"C.A. Rotwang, the inventor",2,77,"Rudolf Klein-Rogge"
385,19,"The Thin Man",2,78,"Fritz Rasp"
386,19,Josaphat,2,79,"Theodor Loos"
387,19,"No. 11811 - Georgy",2,80,"Erwin Biswanger"
388,19,Grot,2,81,"Heinrich George"
389,19,Jan,2,82,"Olaf Storm"
390,19,Marinus,0,83,"Hanns Leo Reich"
391,19,Arbeiterfrau,2,2350,"Helene Weigel"
392,19,"Master of Ceremonies",2,20533,"Heinrich Gotho"
393,19,"Lady in Car / Woman of Eternal Gardens",1,20534,"Margarete Lanner"
394,19,"Creative Human",0,20535,"Fritz Alberti"
397,19,"Johann 'Joh' Fredersen",2,73,"Alfred Abel"
402,20,Ann,1,98,"Sarah Polley"
403,20,Laurie,1,99,"Amanda Plummer"
404,20,Don,2,100,"Scott Speedman"
405,20,"Neighbor Ann",1,101,"Leonor Watling"
406,20,"Ann's Mother",1,102,"Deborah Harry"
410,20,Hairdresser,1,2319,"Maria de Medeiros"
411,20,"Dr. Thompson",2,2320,"Julian Richings"
412,20,Penny,1,2321,"Jessica Amlee"
413,20,Patsy,0,2322,"Kenya Jo Kennedy"
414,20,"Camille Martínez",0,2323,"Camille Martinez"
415,20,"Ann's Father",2,658,"Alfred Molina"
430,22,"Will Turner",2,114,"Orlando Bloom"
433,22,"Elizabeth Swann",1,116,"Keira Knightley"
434,22,"Captain Hector Barbossa",2,118,"Geoffrey Rush"
437,22,"Captain Jack Sparrow",2,85,"Johnny Depp"
438,22,"Commodore James Norrington",2,1709,"Jack Davenport"
439,22,"Governor Weatherby Swann",2,378,"Jonathan Pryce"
440,22,Pintel,2,1710,"Lee Arenberg"
441,22,Ragetti,2,1711,"Mackenzie Crook"
442,22,"Lieutenant Gillette",0,1712,"Damian O'Hare"
443,22,Murtogg,0,1713,"Giles New"
444,22,Mullroy,2,1714,"Angus Barnett"
445,22,Cotton,2,1715,"David Bailie"
446,22,Twigg,0,1716,"Michael Berry Jr."
447,22,"Bo'sun",2,1717,"Isaac C. Singleton Jr."
454,22,Anamaria,1,8691,"Zoe Saldana"
455,22,"Frightened Sailor",2,82636,"Luke de Woolfson"
458,22,"Young Elizabeth",1,82143,"Lucinda Dryzek"
459,22,"Joshamee Gibbs",2,2449,"Kevin McNally"
460,22,"Young Will",2,1172661,"Dylan Smith"
461,22,Koehler,2,12802,"Treva Etienne"
462,22,Harbormaster,2,9298,"Guy Siner"
463,22,"Mr. Brown",2,155955,"Ralph P. Martin"
464,22,Estrella,0,59056,"Paula J. Newman"
465,22,Butler,0,116234,"Paul Keith"
466,22,"Seedy Looking Prisoner",2,74578,"Michael Sean Tighe"
467,22,"Lieutenant Theodore Groves",2,4031,"Greg Ellis"
468,22,Sentry,0,106514,"Dustin Seavey"
469,22,Steersman,0,1269546,"Christian Martin"
470,22,Grapple,2,57252,"Trevor Goddard"
471,22,Jacoby,2,88032,"Vince Lozano"
472,22,"Seedy Prisoner #2",2,60941,"Ben Wilson"
473,22,"Seedy Prisoner #3",0,1269548,"Antonio Valentino"
474,22,Scarlett,1,2450,"Lauren Maher"
475,22,"Sailor / Edinburgh",0,1077834,"Matthew Bowyer"
476,22,Mallot,2,931645,"Brye Cooper"
477,22,"Seedy Prisoner #4",0,1269549,"Mike Babcock"
478,22,"Town Clerk",0,1269550,"Owen Finnegan"
479,22,Sailor,0,1269551,"Ian McIntyre"
480,22,Giselle,1,2452,"Vanessa Branch"
481,22,"Crying Boy",0,1269553,"Sam Roberts"
482,22,"Crying Boy",0,1269554,"Ben Roberts"
483,22,Marty,2,4030,"Martin Klebba"
484,22,"Moises: Jack's Crew",0,1269555,"Félix Castro"
485,22,"Kursar: Jack's Crew",0,1269556,"Mike Haberecht"
486,22,"Matelot: Jack's Crew",0,1269557,"Rudolph McCollum"
487,22,"Tearlach: Jack's Crew (as Gerard Reyes)",0,1269559,"Gerard J. Reyes"
488,22,"Duncan: Jack's Crew",0,1269560,"M. Scott Shields"
489,22,"Ladbroc: Jack's Crew (as Chris 'Sully' Sullivan)",0,1269561,"Christopher Sullivan"
490,22,"Crimp: Jack's Crew",0,1269562,"Craig Thomson"
491,22,"Quartetto: Jack's Crew",0,1269602,"Fred Toft"
492,22,"Weatherby: Barbossa's Crew",0,1269603,"D.P. FitzGerald"
493,22,"Ketchum: Barbossa's Crew",0,1269604,"Jerry Gauny"
494,22,"Maximo: Barbossa's Crew",2,145555,"Maxie J. Santillan Jr."
495,22,"Monk: Barbossa's Crew (as Michael Lane)",0,1269605,"Michael Earl Lane"
496,22,"Dog Ear: Barbossa's Crew",0,1269606,"Tobias McKinney"
497,22,"Clubba: Barbossa's Crew",0,1269607,"David Patykewich"
498,22,"Scarus: Barbossa's Crew",0,1269608,"Tommy Schooler"
499,22,"Simbakka: Barbossa's Crew",0,1269609,"Michael A. Thompson"
500,22,"Hawksmoor: Barbossa's Crew",2,1196317,"Michael W. Williams"
501,22,"Katracho: Barbossa's Crew",0,180394,"Jose Zelaya"
502,22,"Scratch: Barbossa's Crew",2,182212,"Finneus Egan"
503,22,"Nipperkin: Barbossa's Crew",0,1269610,"Don LaDaga"
504,22,Lejon,2,1269611,LeJon
505,22,"Cotton's Parrot (voice)",2,21700,"Christopher S. Capp"
506,22,"Pirate (uncredited)",0,1269612,"Gregory Alosio"
507,22,"Pirate (uncredited)",2,59215,"Jordi Caballero"
508,22,"Sailor (uncredited)",0,74666,"Paul Gagné"
509,22,"Marine (uncredited)",0,1146942,"Joe Grisaffi"
510,22,"Barbossa's Crew (uncredited)",0,1269613,"James McAuley"
513,24,"Beatrix 'The Bride' Kiddo",1,139,"Uma Thurman"
514,24,"O-Ren Ishii",1,140,"Lucy Liu"
515,24,Bill,2,141,"David Carradine"
516,24,Budd,2,147,"Michael Madsen"
519,24,"Elle Driver",1,589,"Daryl Hannah"
520,24,"Vernita Green",1,2535,"Vivica A. Fox"
521,24,"Earl McGraw",2,2536,"Michael Parks"
522,24,"Gogo Yubari",1,2538,"Chiaki Kuriyama"
523,24,"Hattori Hanzo",2,2537,"Sonny Chiba"
524,24,"Sofie Fatale",1,2539,"Julie Dreyfus"
529,24,"Nikki Bell",0,4026,"Ambrosia Kelley"
531,24,"Charlie Brown",0,58616,"Sakichi Satô"
532,24,"Johnny Mo",0,240171,"Gordon Liu Chia-Hui"
539,26,Eyal,2,164,"Lior Ashkenazi"
540,26,"Axel Himmelman",2,165,"Knut Berger"
541,26,"Pia Himmelman",1,166,"Caroline Peters"
542,26,Menachem,2,167,"Gideon Shemer"
543,26,"Axel's Mother",1,168,"Carola Regnier"
544,26,"Axel's Father",2,169,"Hanns Zischler"
545,26,"Alfred Himmelman",2,170,"Ernest Lenart"
571,28,"Captain Benjamin L. Willard",2,8349,"Martin Sheen"
572,28,"Colonel Walter E. Kurtz",2,3084,"Marlon Brando"
573,28,"Lieutenant Colonel Bill Kilgore",2,3087,"Robert Duvall"
574,28,"Tyrone 'Clean' Miller",2,2975,"Laurence Fishburne"
575,28,"Lance B. Johnson",2,8350,"Sam Bottoms"
576,28,"Jay 'Chef' Hicks",2,8351,"Frederic Forrest"
577,28,"Chief Phillips",2,8354,"Albert Hall"
578,28,"Colonel Lucas",2,3,"Harrison Ford"
579,28,Photojournalist,2,2778,"Dennis Hopper"
580,28,"General Corman",2,3173,"G. D. Spradlin"
581,28,"Jerry, Civilian",2,8346,"Jerry Ziesmer"
583,28,"Supply Sergeant",2,80874,"Tom Mason"
584,28,"Lieutenant Richard M. Colby",2,349,"Scott Glenn"
586,28,"Miss May",1,13023,"Colleen Camp"
590,33,"Bill Munny",2,190,"Clint Eastwood"
591,33,"Little Bill Daggett",2,193,"Gene Hackman"
592,33,"English Bob",2,194,"Richard Harris"
594,33,"The Schofield Kid",2,3710,"Jaimz Woolvett"
595,33,"Delilah Fitzgerald",1,3711,"Anna Levine"
596,33,"W.W. Beauchamp",2,3712,"Saul Rubinek"
597,33,"Strawberry Alice",1,3713,"Frances Fisher"
598,33,"Quick Mike",2,3714,"David Mucci"
599,33,"Davey Bunting",0,2843,"Rob Campbell"
600,33,"Skinny Dubois",2,3715,"Anthony James"
609,33,"Ned Logan",2,192,"Morgan Freeman"
613,38,"Clementine Kruczynski",1,204,"Kate Winslet"
614,38,Patrick,2,109,"Elijah Wood"
615,38,"Stan Fink",2,103,"Mark Ruffalo"
616,38,"Joel Barish",2,206,"Jim Carrey"
617,38,"Mary Svevo",1,205,"Kirsten Dunst"
618,38,"Dr. Howard Mierzwiak",2,207,"Tom Wilkinson"
619,38,"Young Joel",0,208,"Ryan Whitney"
620,38,"Carrie Eakin",1,209,"Jane Adams"
621,38,"Joel's Mother",1,211,"Debbon Ayer"
622,38,"Rob Eakin",2,212,"David Cross"
623,38,"Train Conducter",2,213,"Gerry Robert Byrne"
624,38,"Young Bully",0,214,"Brian Price"
625,38,"Young Bully",2,216,"Josh Flitter"
626,38,"Young Bully",2,217,"Paul Litowsky"
627,38,"Young Clementine",0,220,"Lola Daehler"
628,38,"Young Bully",2,210,"Amir Ali Said"
629,38,Rollerblader,1,221,"Lauren Adler"
639,38,"Hollis Mierzwiak",1,77013,"Deirdre O'Connell"
641,55,Octavio,2,258,"Gael García Bernal"
642,55,Susana,1,259,"Vanessa Bauche"
643,55,Valeria,1,261,"Goya Toledo"
644,55,Daniel,0,262,"Alvaro Guerrero"
645,55,"El Chivo",2,263,"Emilio Echevarría"
646,55,Luis,2,264,"Jorge Salinas"
647,55,Gustavo,0,265,"Rodrigo Murray"
648,55,Jorge,2,266,"Humberto Busto"
649,55,Mauricio,0,267,"Gerardo Campbell"
650,55,"Tía Luisa",0,268,"Rosa María Bianchi"
651,55,"Mama Susana",1,269,"Dunia Saldívar"
652,55,"Mama Octavio",1,270,"Adriana Barraza"
653,55,Leonardo,2,271,"José Sefami"
654,55,Maru,1,272,"Lourdes Echevarría"
663,55,Ramiro,2,260,"Marco Pérez"
673,62,"Dr. Dave Bowman",2,245,"Keir Dullea"
674,62,"Dr. Frank Poole",2,246,"Gary Lockwood"
675,62,"Dr. Heywood R. Floyd",2,247,"William Sylvester"
676,62,Moon-Watcher,0,248,"Daniel Richter"
677,62,"Dr. Andrei Smyslov",2,249,"Leonard Rossiter"
678,62,Elena,1,250,"Margaret Tyzack"
679,62,"Dr. Ralph Halvorsen",2,251,"Robert Beatty"
680,62,"Dr. Bill Michaels",2,252,"Sean Sullivan"
681,62,"HAL 9000 (voice)",2,253,"Douglas Rain"
690,62,Astronaut,2,24278,"Bill Weston"
691,62,"Aries-1B Lunar Shuttle Captain",0,108277,"Ed Bishop"
692,62,"Poole's Father",0,93948,"Alan Gifford"
693,62,"Poole's Mother",1,107445,"Ann Gillis"
694,62,"Aries-1B Stewardess",1,117540,"Edwina Carroll"
695,62,"Mission Controller (voice)",2,102573,"Frank Miller"
696,62,Astronaut,2,948173,"Glenn Beck"
714,63,"James Cole",2,62,"Bruce Willis"
715,63,"Dr. Kathryn Railly",1,289,"Madeleine Stowe"
716,63,"Jeffrey Goines",2,287,"Brad Pitt"
717,63,"Dr. Goines",2,290,"Christopher Plummer"
718,63,"Dr. Peters",2,52,"David Morse"
719,63,Jose,2,288,"Jon Seda"
720,63,"Dr. Fletcher",2,291,"Frank Gorshin"
721,63,"junger Cole",2,975569,"Joseph Melito"
722,63,"WWI Sergeant",0,1273540,"Aaron Michael Lacey"
723,63,"Lt. Halperin",2,22227,"Christopher Meloni"
727,64,Alicia,1,101,"Leonor Watling"
728,64,Lydia,1,398,"Rosario Flores"
731,64,Benigno,2,1610,"Javier Cámara"
733,64,Marco,2,3618,"Darío Grandinetti"
734,64,Rosa,0,399,"Mariola Fuentes"
735,64,"Katerina Bilova",1,400,"Geraldine Chaplin"
736,64,Bailarine,1,402,"Pina Bausch"
737,64,Bailarine,0,3619,"Malou Airaudo"
738,64,"Singer at Party",2,3620,"Caetano Veloso"
739,64,Doctor,0,3621,"Roberto Alvarez"
740,64,"Ángela",1,3623,"Elena Anaya"
741,64,Matilde,1,2759,"Lola Dueñas"
742,64,"Niño de Valencia",0,3624,"Adolfo Fernández"
743,64,"Lydia's Sister",0,3625,"Ana Fernández"
744,64,Concierge,1,3482,"Chus Lampreave"
745,64,"Alicia's Father",0,3626,"Helio Pedregal"
746,64,Amparo,1,3627,"Paz Vega"
747,64,Alfredo,2,1602,"Fele Martínez"
756,65,"Jimmy B. ""Rabbit"" Smith",2,325,Eminem
757,65,"David ""Future"" Porter",2,327,"Mekhi Phifer"
758,65,"Stephanie Smith",1,326,"Kim Basinger"
759,65,Alex,1,328,"Brittany Murphy"
763,65,"Greg Buehl",2,335,"Michael Shannon"
